nbr_apop	apop_pos	epi_size	cell_definitions/cell_definition/phenotype/mechanics/cell_adhesion_affinities/cell_adhesion_affinity_epi_inter_epi_inter__	[_'_c_e_l_l___r_u_l_e_'_,_ _'_2_'_,_ _'_5_'_]
2.000000e+01	-2.519850e+01	1.519185e+02	8.505855e-01	3.726150e+00
6.000000e+00	5.142903e+01	1.535458e+02	3.627176e-01	3.726150e+00
2.000000e+01	-2.519850e+01	1.519185e+02	8.505855e-01	1.464555e+00
2.000000e+01	-2.519850e+01	1.519185e+02	8.505855e-01	1.464555e+00
6.000000e+00	5.142903e+01	1.535458e+02	3.627176e-01	3.726150e+00
6.000000e+00	5.142903e+01	1.535458e+02	3.627176e-01	1.464555e+00
1.300000e+01	-6.592671e+01	1.544868e+02	4.420025e-01	1.960649e+00
1.100000e+01	-8.118453e+01	1.525783e+02	6.360238e-01	1.960649e+00
1.300000e+01	-6.592671e+01	1.544868e+02	4.420025e-01	3.697795e+00
1.300000e+01	-6.592671e+01	1.544868e+02	4.420025e-01	3.697795e+00
1.100000e+01	-8.118453e+01	1.525783e+02	6.360238e-01	1.960649e+00
1.100000e+01	-8.118453e+01	1.525783e+02	6.360238e-01	3.697795e+00
1.300000e+01	-3.029390e+01	1.635247e+02	7.640637e-03	2.161727e+00
1.300000e+01	2.614882e-01	1.611255e+02	1.539784e-01	2.161727e+00
1.300000e+01	-3.029390e+01	1.635247e+02	7.640637e-03	8.981065e-01
1.300000e+01	-3.029390e+01	1.635247e+02	7.640637e-03	8.981065e-01
1.300000e+01	2.614882e-01	1.611255e+02	1.539784e-01	2.161727e+00
1.300000e+01	2.614882e-01	1.611255e+02	1.539784e-01	8.981065e-01
9.000000e+00	-4.587036e+01	1.543239e+02	6.618094e-01	4.040185e-01
1.500000e+01	-6.550415e+01	1.530994e+02	8.491570e-01	4.040185e-01
9.000000e+00	-4.587036e+01	1.543239e+02	6.618094e-01	2.148462e+00
9.000000e+00	-4.587036e+01	1.543239e+02	6.618094e-01	2.148462e+00
1.500000e+01	-6.550415e+01	1.530994e+02	8.491570e-01	4.040185e-01
1.500000e+01	-6.550415e+01	1.530994e+02	8.491570e-01	2.148462e+00
1.200000e+01	-7.037447e+01	1.535641e+02	5.971339e-01	2.747308e+00
1.200000e+01	-7.706327e+01	1.546012e+02	5.651585e-01	2.747308e+00
1.200000e+01	-7.037447e+01	1.535641e+02	5.971339e-01	2.782245e+00
1.200000e+01	-7.037447e+01	1.535641e+02	5.971339e-01	2.782245e+00
1.200000e+01	-7.706327e+01	1.546012e+02	5.651585e-01	2.747308e+00
1.200000e+01	-7.706327e+01	1.546012e+02	5.651585e-01	2.782245e+00
1.800000e+01	-2.540514e+00	1.560097e+02	1.885557e-01	9.593997e-01
1.000000e+01	-4.815065e+01	1.551460e+02	4.322397e-01	9.593997e-01
1.800000e+01	-2.540514e+00	1.560097e+02	1.885557e-01	1.104293e-02
1.800000e+01	-2.540514e+00	1.560097e+02	1.885557e-01	1.104293e-02
