nbr_apoptosis	mean_pos_apop	epi_size	cell_definitions/cell_definition/phenotype/death/model/death_rate_epi_inter___	cell_rule_2_5	cell_rule_2_6
1.900000e+02	-2.766914e+01	3.757055e+01	8.507349e-04	5.588196e+00	2.450870e+00
1.660000e+02	-1.770324e+01	9.683351e+01	3.651856e-04	5.588196e+00	2.450870e+00
3.400000e+01	5.710415e+00	1.794095e+02	8.507349e-04	8.396728e-01	2.450870e+00
1.710000e+02	-3.180759e+01	3.836489e+01	8.507349e-04	5.588196e+00	3.242810e+00
1.200000e+01	-6.568173e+01	1.884974e+02	8.507349e-04	8.396728e-01	3.242810e+00
1.650000e+02	-1.303134e+01	8.967762e+01	3.651856e-04	5.588196e+00	3.242810e+00
1.000000e+01	2.899619e+01	1.871428e+02	3.651856e-04	8.396728e-01	2.450870e+00
4.000000e+00	-4.970976e+01	1.953652e+02	3.651856e-04	8.396728e-01	3.242810e+00
4.000000e+00	-6.223399e+01	1.932794e+02	4.843469e-04	8.269146e-01	3.578056e+00
3.000000e+00	-3.274594e+01	1.947367e+02	6.036455e-04	8.269146e-01	3.578056e+00
1.670000e+02	-1.820048e+01	6.974599e+01	4.843469e-04	3.549782e+00	3.578056e+00
1.600000e+01	-8.613676e+00	1.890086e+02	4.843469e-04	8.269146e-01	2.056363e+00
1.530000e+02	-2.538218e+01	1.007136e+02	4.843469e-04	3.549782e+00	2.056363e+00
2.700000e+01	1.834105e+01	1.860753e+02	6.036455e-04	8.269146e-01	2.056363e+00
1.770000e+02	-1.740002e+01	5.672555e+01	6.036455e-04	3.549782e+00	3.578056e+00
1.700000e+02	-2.594617e+01	6.122780e+01	6.036455e-04	3.549782e+00	2.056363e+00
1.280000e+02	-8.049077e+00	1.484977e+02	2.217708e-04	4.498445e+00	1.782941e+00
3.800000e+01	-2.001976e+01	1.757539e+02	4.763531e-05	4.498445e+00	1.782941e+00
1.320000e+02	-9.763763e+00	1.562460e+02	2.217708e-04	4.950455e+00	1.782941e+00
1.060000e+02	-6.686183e+00	1.515200e+02	2.217708e-04	4.498445e+00	1.313697e+00
1.390000e+02	-1.485827e+01	1.506264e+02	2.217708e-04	4.950455e+00	1.313697e+00
3.700000e+01	-1.308010e+01	1.839085e+02	4.763531e-05	4.498445e+00	1.313697e+00
2.800000e+01	1.155077e+01	1.835702e+02	4.763531e-05	4.950455e+00	1.782941e+00
4.500000e+01	2.657851e+01	1.824117e+02	4.763531e-05	4.950455e+00	1.313697e+00
1.340000e+02	-4.152929e+01	1.479163e+02	6.056389e-04	2.690288e+00	4.160056e+00
1.480000e+02	-2.580467e+01	1.174728e+02	8.002327e-04	2.690288e+00	4.160056e+00
8.100000e+01	-4.631445e+01	1.539659e+02	6.056389e-04	2.428554e+00	4.160056e+00
1.300000e+02	-2.585362e+01	1.572237e+02	6.056389e-04	2.690288e+00	4.375174e+00
9.800000e+01	-1.233596e+01	1.475441e+02	6.056389e-04	2.428554e+00	4.375174e+00
1.620000e+02	-2.531828e+01	1.171104e+02	8.002327e-04	2.690288e+00	4.375174e+00
