nbr_breaks	Group_epib1	Group_epib2	Group_epib2	Group_m2	Group_m2	Group_m1	Group_m3	Group_m3
0.000000e+00	8.505855e-01	9.313660e-01	3.627176e-01	3.645502e-01	1.399455e-01	5.607025e-01	4.225346e-01	3.892125e-01
0.000000e+00	1.867756e-01	9.313660e-01	3.627176e-01	3.645502e-01	1.399455e-01	5.607025e-01	4.225346e-01	3.892125e-01
0.000000e+00	8.505855e-01	8.655801e-01	8.751520e-01	3.645502e-01	1.399455e-01	5.607025e-01	4.225346e-01	3.892125e-01
2.000000e+00	8.505855e-01	9.313660e-01	3.627176e-01	9.946573e-01	8.105370e-01	5.607025e-01	4.225346e-01	3.892125e-01
0.000000e+00	8.505855e-01	9.313660e-01	3.627176e-01	3.645502e-01	1.399455e-01	8.279781e-01	4.225346e-01	3.892125e-01
2.000000e+00	8.505855e-01	9.313660e-01	3.627176e-01	3.645502e-01	1.399455e-01	5.607025e-01	5.192377e-01	8.615590e-01
1.000000e+00	8.505855e-01	8.655801e-01	8.751520e-01	9.946573e-01	8.105370e-01	8.279781e-01	5.192377e-01	8.615590e-01
7.000000e+00	1.867756e-01	9.313660e-01	3.627176e-01	9.946573e-01	8.105370e-01	8.279781e-01	5.192377e-01	8.615590e-01
2.000000e+00	1.867756e-01	8.655801e-01	8.751520e-01	3.645502e-01	1.399455e-01	8.279781e-01	5.192377e-01	8.615590e-01
8.000000e+00	1.867756e-01	8.655801e-01	8.751520e-01	9.946573e-01	8.105370e-01	5.607025e-01	5.192377e-01	8.615590e-01
0.000000e+00	1.867756e-01	8.655801e-01	8.751520e-01	9.946573e-01	8.105370e-01	8.279781e-01	4.225346e-01	3.892125e-01
5.000000e+00	1.867756e-01	8.655801e-01	8.751520e-01	9.946573e-01	8.105370e-01	8.279781e-01	5.192377e-01	8.615590e-01
1.100000e+01	3.400152e-01	4.614162e-01	7.945292e-01	6.718356e-01	7.279961e-01	2.910569e-01	7.059881e-01	7.804863e-01
1.100000e+01	8.806673e-01	4.614162e-01	7.945292e-01	6.718356e-01	7.279961e-01	2.910569e-01	7.059881e-01	7.804863e-01
1.700000e+01	3.400152e-01	3.323834e-01	3.694307e-01	6.718356e-01	7.279961e-01	2.910569e-01	7.059881e-01	7.804863e-01
5.000000e+00	3.400152e-01	4.614162e-01	7.945292e-01	4.386989e-01	2.454009e-01	2.910569e-01	7.059881e-01	7.804863e-01
2.600000e+01	3.400152e-01	4.614162e-01	7.945292e-01	6.718356e-01	7.279961e-01	1.114838e-01	7.059881e-01	7.804863e-01
3.000000e+00	3.400152e-01	4.614162e-01	7.945292e-01	6.718356e-01	7.279961e-01	2.910569e-01	8.945549e-02	1.449508e-02
1.000000e+00	3.400152e-01	3.323834e-01	3.694307e-01	4.386989e-01	2.454009e-01	1.114838e-01	8.945549e-02	1.449508e-02
2.000000e+00	8.806673e-01	4.614162e-01	7.945292e-01	4.386989e-01	2.454009e-01	1.114838e-01	8.945549e-02	1.449508e-02
1.000000e+01	8.806673e-01	3.323834e-01	3.694307e-01	6.718356e-01	7.279961e-01	1.114838e-01	8.945549e-02	1.449508e-02
0.000000e+00	8.806673e-01	3.323834e-01	3.694307e-01	4.386989e-01	2.454009e-01	2.910569e-01	8.945549e-02	1.449508e-02
7.000000e+00	8.806673e-01	3.323834e-01	3.694307e-01	4.386989e-01	2.454009e-01	1.114838e-01	7.059881e-01	7.804863e-01
2.000000e+00	8.806673e-01	3.323834e-01	3.694307e-01	4.386989e-01	2.454009e-01	1.114838e-01	8.945549e-02	1.449508e-02
5.000000e+00	1.795047e-01	6.655454e-01	1.181101e-01	1.116853e-01	8.071961e-01	1.608225e-01	2.499840e-01	6.972115e-01
8.000000e+00	7.332523e-01	6.655454e-01	1.181101e-01	1.116853e-01	8.071961e-01	1.608225e-01	2.499840e-01	6.972115e-01
1.000000e+01	1.795047e-01	3.220654e-02	1.368549e-02	1.116853e-01	8.071961e-01	1.608225e-01	2.499840e-01	6.972115e-01
6.000000e+00	1.795047e-01	6.655454e-01	1.181101e-01	1.518474e-01	7.192918e-01	1.608225e-01	2.499840e-01	6.972115e-01
0.000000e+00	1.795047e-01	6.655454e-01	1.181101e-01	1.116853e-01	8.071961e-01	6.974465e-01	2.499840e-01	6.972115e-01
8.000000e+00	1.795047e-01	6.655454e-01	1.181101e-01	1.116853e-01	8.071961e-01	1.608225e-01	3.474145e-01	6.683262e-01
0.000000e+00	1.795047e-01	3.220654e-02	1.368549e-02	1.518474e-01	7.192918e-01	6.974465e-01	3.474145e-01	6.683262e-01
0.000000e+00	7.332523e-01	6.655454e-01	1.181101e-01	1.518474e-01	7.192918e-01	6.974465e-01	3.474145e-01	6.683262e-01
0.000000e+00	7.332523e-01	3.220654e-02	1.368549e-02	1.116853e-01	8.071961e-01	6.974465e-01	3.474145e-01	6.683262e-01
9.000000e+00	7.332523e-01	3.220654e-02	1.368549e-02	1.518474e-01	7.192918e-01	1.608225e-01	3.474145e-01	6.683262e-01
0.000000e+00	7.332523e-01	3.220654e-02	1.368549e-02	1.518474e-01	7.192918e-01	6.974465e-01	2.499840e-01	6.972115e-01
0.000000e+00	7.332523e-01	3.220654e-02	1.368549e-02	1.518474e-01	7.192918e-01	6.974465e-01	3.474145e-01	6.683262e-01
0.000000e+00	6.377068e-01	1.955634e-01	5.371281e-01	9.149349e-01	3.404981e-01	9.224115e-01	9.040286e-01	8.622629e-02
0.000000e+00	4.573596e-01	1.955634e-01	5.371281e-01	9.149349e-01	3.404981e-01	9.224115e-01	9.040286e-01	8.622629e-02
0.000000e+00	6.377068e-01	5.029146e-01	7.386790e-01	9.149349e-01	3.404981e-01	9.224115e-01	9.040286e-01	8.622629e-02
0.000000e+00	6.377068e-01	1.955634e-01	5.371281e-01	6.569853e-01	2.873278e-01	9.224115e-01	9.040286e-01	8.622629e-02
1.000000e+00	6.377068e-01	1.955634e-01	5.371281e-01	9.149349e-01	3.404981e-01	4.920610e-01	9.040286e-01	8.622629e-02
0.000000e+00	6.377068e-01	1.955634e-01	5.371281e-01	9.149349e-01	3.404981e-01	9.224115e-01	7.928833e-01	4.538229e-01
1.000000e+00	6.377068e-01	5.029146e-01	7.386790e-01	6.569853e-01	2.873278e-01	4.920610e-01	7.928833e-01	4.538229e-01
1.000000e+00	4.573596e-01	1.955634e-01	5.371281e-01	6.569853e-01	2.873278e-01	4.920610e-01	7.928833e-01	4.538229e-01
1.000000e+00	4.573596e-01	5.029146e-01	7.386790e-01	9.149349e-01	3.404981e-01	4.920610e-01	7.928833e-01	4.538229e-01
0.000000e+00	4.573596e-01	5.029146e-01	7.386790e-01	6.569853e-01	2.873278e-01	9.224115e-01	7.928833e-01	4.538229e-01
0.000000e+00	4.573596e-01	5.029146e-01	7.386790e-01	6.569853e-01	2.873278e-01	4.920610e-01	9.040286e-01	8.622629e-02
1.000000e+00	4.573596e-01	5.029146e-01	7.386790e-01	6.569853e-01	2.873278e-01	4.920610e-01	7.928833e-01	4.538229e-01
0.000000e+00	6.035042e-01	5.357425e-01	9.363425e-01	7.945087e-01	4.694951e-01	6.799295e-01	8.467603e-02	5.054939e-01
0.000000e+00	5.968707e-01	5.357425e-01	9.363425e-01	7.945087e-01	4.694951e-01	6.799295e-01	8.467603e-02	5.054939e-01
1.000000e+00	6.035042e-01	3.985201e-01	1.325275e-01	7.945087e-01	4.694951e-01	6.799295e-01	8.467603e-02	5.054939e-01
0.000000e+00	6.035042e-01	5.357425e-01	9.363425e-01	5.403669e-01	5.943778e-01	6.799295e-01	8.467603e-02	5.054939e-01
1.600000e+01	6.035042e-01	5.357425e-01	9.363425e-01	7.945087e-01	4.694951e-01	1.639691e-01	8.467603e-02	5.054939e-01
