cross	cell_definitions/cell_definition/phenotype/mechanics/cell_adhesion_affinities/cell_adhesion_affinity_membrane_membrane	cell_definitions/cell_definition/phenotype/mechanics/cell_adhesion_affinities/cell_adhesion_affinity_membrane_attracted	cell_definitions/cell_definition/phenotype/mechanics/cell_adhesion_affinities/cell_adhesion_affinity_attracted_membrane	cell_definitions/cell_definition/phenotype/motility/migration_bias_attracted	cell_definitions/cell_definition/phenotype/volume/total_attracted
0.000000e+00	8.505855e-01	9.313660e-01	3.627176e-01	3.645502e-01	3.349864e+03
1.000000e+00	5.607025e-01	9.313660e-01	3.627176e-01	3.645502e-01	3.349864e+03
1.000000e+00	8.505855e-01	4.225346e-01	3.627176e-01	3.645502e-01	3.349864e+03
0.000000e+00	8.505855e-01	9.313660e-01	3.892125e-01	3.645502e-01	3.349864e+03
0.000000e+00	8.505855e-01	9.313660e-01	3.627176e-01	1.867756e-01	3.349864e+03
1.000000e+00	8.505855e-01	9.313660e-01	3.627176e-01	3.645502e-01	5.163950e+03
0.000000e+00	8.505855e-01	4.225346e-01	3.892125e-01	1.867756e-01	5.163950e+03
0.000000e+00	5.607025e-01	9.313660e-01	3.892125e-01	1.867756e-01	5.163950e+03
0.000000e+00	5.607025e-01	4.225346e-01	3.627176e-01	1.867756e-01	5.163950e+03
0.000000e+00	5.607025e-01	4.225346e-01	3.892125e-01	3.645502e-01	5.163950e+03
0.000000e+00	5.607025e-01	4.225346e-01	3.892125e-01	1.867756e-01	3.349864e+03
0.000000e+00	5.607025e-01	4.225346e-01	3.892125e-01	1.867756e-01	5.163950e+03
1.000000e+00	4.981257e-01	2.346157e-01	8.692318e-01	6.817866e-01	5.282307e+03
1.000000e+00	3.070994e-01	2.346157e-01	8.692318e-01	6.817866e-01	5.282307e+03
1.000000e+00	4.981257e-01	9.503398e-01	8.692318e-01	6.817866e-01	5.282307e+03
1.000000e+00	4.981257e-01	2.346157e-01	9.499946e-01	6.817866e-01	5.282307e+03
1.000000e+00	4.981257e-01	2.346157e-01	8.692318e-01	7.926336e-01	5.282307e+03
1.000000e+00	4.981257e-01	2.346157e-01	8.692318e-01	6.817866e-01	3.172906e+03
1.000000e+00	4.981257e-01	9.503398e-01	9.499946e-01	7.926336e-01	3.172906e+03
1.000000e+00	3.070994e-01	2.346157e-01	9.499946e-01	7.926336e-01	3.172906e+03
0.000000e+00	3.070994e-01	9.503398e-01	8.692318e-01	7.926336e-01	3.172906e+03
1.000000e+00	3.070994e-01	9.503398e-01	9.499946e-01	6.817866e-01	3.172906e+03
0.000000e+00	3.070994e-01	9.503398e-01	9.499946e-01	7.926336e-01	5.282307e+03
0.000000e+00	3.070994e-01	9.503398e-01	9.499946e-01	7.926336e-01	3.172906e+03
0.000000e+00	4.466009e-02	7.128637e-01	1.906826e-01	2.161289e-01	4.693370e+03
0.000000e+00	2.111925e-01	7.128637e-01	1.906826e-01	2.161289e-01	4.693370e+03
0.000000e+00	4.466009e-02	1.773136e-01	1.906826e-01	2.161289e-01	4.693370e+03
0.000000e+00	4.466009e-02	7.128637e-01	5.191051e-01	2.161289e-01	4.693370e+03
1.000000e+00	4.466009e-02	7.128637e-01	1.906826e-01	6.972826e-01	4.693370e+03
0.000000e+00	4.466009e-02	7.128637e-01	1.906826e-01	2.161289e-01	4.013185e+03
1.000000e+00	4.466009e-02	1.773136e-01	5.191051e-01	6.972826e-01	4.013185e+03
1.000000e+00	2.111925e-01	7.128637e-01	5.191051e-01	6.972826e-01	4.013185e+03
1.000000e+00	2.111925e-01	1.773136e-01	1.906826e-01	6.972826e-01	4.013185e+03
0.000000e+00	2.111925e-01	1.773136e-01	5.191051e-01	2.161289e-01	4.013185e+03
1.000000e+00	2.111925e-01	1.773136e-01	5.191051e-01	6.972826e-01	4.693370e+03
1.000000e+00	2.111925e-01	1.773136e-01	5.191051e-01	6.972826e-01	4.013185e+03
1.000000e+00	6.770633e-01	3.911129e-01	6.974854e-01	7.677994e-01	4.005881e+03
1.000000e+00	9.649138e-01	3.911129e-01	6.974854e-01	7.677994e-01	4.005881e+03
1.000000e+00	6.770633e-01	6.954069e-01	6.974854e-01	7.677994e-01	4.005881e+03
