cross_time	nbr_breaks	Group_m1	Group_m2	Group_m2	Group_m3	Group_m3	Group_c1	Group_sattr	Group_vattr	Group_m_att	Group_c_att	Group_at_rep	Group_m_rep
2.000000e+02	0.000000e+00	8.505855e-01	9.313660e-01	3.627176e-01	3.645502e-01	1.399455e-01	5.607025e-01	2.690138e+00	3.973031e+03	1.867756e-01	8.655801e-01	8.876368e+01	9.951915e+01
2.000000e+02	0.000000e+00	8.105370e-01	9.313660e-01	3.627176e-01	3.645502e-01	1.399455e-01	5.607025e-01	2.690138e+00	3.973031e+03	1.867756e-01	8.655801e-01	8.876368e+01	9.951915e+01
2.000000e+02	0.000000e+00	8.505855e-01	8.279781e-01	5.192377e-01	3.645502e-01	1.399455e-01	5.607025e-01	2.690138e+00	3.973031e+03	1.867756e-01	8.655801e-01	8.876368e+01	9.951915e+01
2.000000e+02	2.000000e+00	8.505855e-01	9.313660e-01	3.627176e-01	8.615590e-01	1.766194e-01	5.607025e-01	2.690138e+00	3.973031e+03	1.867756e-01	8.655801e-01	8.876368e+01	9.951915e+01
2.000000e+02	2.000000e+00	8.505855e-01	9.313660e-01	3.627176e-01	3.645502e-01	1.399455e-01	8.702823e-02	2.690138e+00	3.973031e+03	1.867756e-01	8.655801e-01	8.876368e+01	9.951915e+01
2.000000e+02	0.000000e+00	8.505855e-01	9.313660e-01	3.627176e-01	3.645502e-01	1.399455e-01	5.607025e-01	3.245646e+00	3.973031e+03	1.867756e-01	8.655801e-01	8.876368e+01	9.951915e+01
2.000000e+02	0.000000e+00	8.505855e-01	9.313660e-01	3.627176e-01	3.645502e-01	1.399455e-01	5.607025e-01	2.690138e+00	4.655894e+03	1.867756e-01	8.655801e-01	8.876368e+01	9.951915e+01
2.000000e+02	0.000000e+00	8.505855e-01	9.313660e-01	3.627176e-01	3.645502e-01	1.399455e-01	5.607025e-01	2.690138e+00	3.973031e+03	8.605794e-01	8.655801e-01	8.876368e+01	9.951915e+01
2.000000e+02	0.000000e+00	8.505855e-01	9.313660e-01	3.627176e-01	3.645502e-01	1.399455e-01	5.607025e-01	2.690138e+00	3.973031e+03	1.867756e-01	3.013790e-01	8.876368e+01	9.951915e+01
2.000000e+02	0.000000e+00	8.505855e-01	9.313660e-01	3.627176e-01	3.645502e-01	1.399455e-01	5.607025e-01	2.690138e+00	3.973031e+03	1.867756e-01	8.655801e-01	9.796576e+01	9.951915e+01
2.000000e+02	0.000000e+00	8.505855e-01	9.313660e-01	3.627176e-01	3.645502e-01	1.399455e-01	5.607025e-01	2.690138e+00	3.973031e+03	1.867756e-01	8.655801e-01	8.876368e+01	1.355715e+01
2.000000e+02	0.000000e+00	8.505855e-01	8.279781e-01	5.192377e-01	8.615590e-01	1.766194e-01	8.702823e-02	3.245646e+00	4.655894e+03	8.605794e-01	3.013790e-01	9.796576e+01	1.355715e+01
2.000000e+02	0.000000e+00	8.105370e-01	9.313660e-01	3.627176e-01	8.615590e-01	1.766194e-01	8.702823e-02	3.245646e+00	4.655894e+03	8.605794e-01	3.013790e-01	9.796576e+01	1.355715e+01
2.000000e+02	0.000000e+00	8.105370e-01	8.279781e-01	5.192377e-01	3.645502e-01	1.399455e-01	8.702823e-02	3.245646e+00	4.655894e+03	8.605794e-01	3.013790e-01	9.796576e+01	1.355715e+01
2.000000e+02	0.000000e+00	8.105370e-01	8.279781e-01	5.192377e-01	8.615590e-01	1.766194e-01	5.607025e-01	3.245646e+00	4.655894e+03	8.605794e-01	3.013790e-01	9.796576e+01	1.355715e+01
2.000000e+02	1.000000e+00	8.105370e-01	8.279781e-01	5.192377e-01	8.615590e-01	1.766194e-01	8.702823e-02	2.690138e+00	4.655894e+03	8.605794e-01	3.013790e-01	9.796576e+01	1.355715e+01
2.000000e+02	0.000000e+00	8.105370e-01	8.279781e-01	5.192377e-01	8.615590e-01	1.766194e-01	8.702823e-02	3.245646e+00	3.973031e+03	8.605794e-01	3.013790e-01	9.796576e+01	1.355715e+01
2.000000e+02	1.000000e+00	8.105370e-01	8.279781e-01	5.192377e-01	8.615590e-01	1.766194e-01	8.702823e-02	3.245646e+00	4.655894e+03	1.867756e-01	3.013790e-01	9.796576e+01	1.355715e+01
2.000000e+02	1.000000e+00	8.105370e-01	8.279781e-01	5.192377e-01	8.615590e-01	1.766194e-01	8.702823e-02	3.245646e+00	4.655894e+03	8.605794e-01	8.655801e-01	9.796576e+01	1.355715e+01
2.000000e+02	1.000000e+00	8.105370e-01	8.279781e-01	5.192377e-01	8.615590e-01	1.766194e-01	8.702823e-02	3.245646e+00	4.655894e+03	8.605794e-01	3.013790e-01	8.876368e+01	1.355715e+01
2.000000e+02	3.000000e+00	8.105370e-01	8.279781e-01	5.192377e-01	8.615590e-01	1.766194e-01	8.702823e-02	3.245646e+00	4.655894e+03	8.605794e-01	3.013790e-01	9.796576e+01	9.951915e+01
2.000000e+02	1.000000e+00	8.105370e-01	8.279781e-01	5.192377e-01	8.615590e-01	1.766194e-01	8.702823e-02	3.245646e+00	4.655894e+03	8.605794e-01	3.013790e-01	9.796576e+01	1.355715e+01
