growth_rate	epi_size	cell_definitions/cell_definition/phenotype/secretion/substrate/secretion_rate_epi_inter___div_inhib	microenvironment_setup/variable/physical_parameter_set/diffusion_coefficient___div_inhib	microenvironment_setup/variable/physical_parameter_set/decay_rate___div_inhib	cell_definitions/cell_definition/phenotype/death/model/death_rate_epi_inter___	[_'_c_e_l_l___r_u_l_e_'_,_ _'_1_'_,_ _'_5_'_]	[_'_c_e_l_l___r_u_l_e_'_,_ _'_2_'_,_ _'_5_'_]
5.277332e-02	1.661071e+02	8.507349e+02	1.431366e+03	3.630362e+01	3.651856e-04	5.683824e-01	2.247203e+00
5.277332e-02	1.661071e+02	4.231121e+02	1.431366e+03	3.630362e+01	3.651856e-04	5.683824e-01	2.247203e+00
5.277332e-02	1.661071e+02	8.507349e+02	8.892125e+02	3.630362e+01	3.651856e-04	5.683824e-01	2.247203e+00
5.277332e-02	1.661071e+02	8.507349e+02	1.431366e+03	1.871822e+01	3.651856e-04	5.683824e-01	2.247203e+00
-5.336221e-02	1.609064e+02	8.507349e+02	1.431366e+03	3.630362e+01	8.657145e-04	5.683824e-01	2.247203e+00
5.277332e-02	1.661071e+02	8.507349e+02	1.431366e+03	3.630362e+01	3.651856e-04	3.501856e+00	2.247203e+00
-1.537822e-01	1.559859e+02	8.507349e+02	1.431366e+03	3.630362e+01	3.651856e-04	5.683824e-01	3.978682e+00
-5.868298e-01	1.347633e+02	8.507349e+02	8.892125e+02	1.871822e+01	8.657145e-04	3.501856e+00	3.978682e+00
-5.868298e-01	1.347633e+02	4.231121e+02	1.431366e+03	1.871822e+01	8.657145e-04	3.501856e+00	3.978682e+00
-5.868298e-01	1.347633e+02	4.231121e+02	8.892125e+02	3.630362e+01	8.657145e-04	3.501856e+00	3.978682e+00
-1.537822e-01	1.559859e+02	4.231121e+02	8.892125e+02	1.871822e+01	3.651856e-04	3.501856e+00	3.978682e+00
-5.868298e-01	1.347633e+02	4.231121e+02	8.892125e+02	1.871822e+01	8.657145e-04	5.683824e-01	3.978682e+00
-5.336221e-02	1.609064e+02	4.231121e+02	8.892125e+02	1.871822e+01	8.657145e-04	3.501856e+00	2.247203e+00
-5.868298e-01	1.347633e+02	4.231121e+02	8.892125e+02	1.871822e+01	8.657145e-04	3.501856e+00	3.978682e+00
1.006805e-01	1.684545e+02	2.559435e+02	6.559003e+02	8.345685e+01	5.716233e-04	2.165463e+00	1.947623e-01
1.006805e-01	1.684545e+02	5.693124e+02	6.559003e+02	8.345685e+01	5.716233e-04	2.165463e+00	1.947623e-01
1.006805e-01	1.684545e+02	2.559435e+02	1.132408e+03	8.345685e+01	5.716233e-04	2.165463e+00	1.947623e-01
1.006805e-01	1.684545e+02	2.559435e+02	6.559003e+02	7.314991e+01	5.716233e-04	2.165463e+00	1.947623e-01
1.006805e-01	1.684545e+02	2.559435e+02	6.559003e+02	8.345685e+01	4.268240e-04	2.165463e+00	1.947623e-01
1.006805e-01	1.684545e+02	2.559435e+02	6.559003e+02	8.345685e+01	5.716233e-04	1.940729e+00	1.947623e-01
1.006805e-01	1.684545e+02	2.559435e+02	6.559003e+02	8.345685e+01	5.716233e-04	2.165463e+00	6.070866e-01
