growth_rate	epi_size	cell_definitions/cell_definition/phenotype/secretion/substrate/secretion_rate_epi_inter___div_inhib	microenvironment_setup/variable/physical_parameter_set/diffusion_coefficient___div_inhib	microenvironment_setup/variable/physical_parameter_set/decay_rate___div_inhib	[_'_c_e_l_l___r_u_l_e_'_,_ _1_,_ _5_]
1.176741e+00	2.845905e+02	8.507349e+02	1.431366e+03	2.132229e-01	1.464555e+00
1.176741e+00	2.845905e+02	1.408055e+02	1.431366e+03	2.132229e-01	1.464555e+00
1.176741e+00	2.845905e+02	8.507349e+02	1.060703e+03	2.132229e-01	1.464555e+00
1.176741e+00	2.845905e+02	8.507349e+02	1.431366e+03	2.401406e-01	1.464555e+00
1.170704e+00	2.839928e+02	8.507349e+02	1.431366e+03	2.132229e-01	1.562958e+00
1.170704e+00	2.839928e+02	8.507349e+02	1.060703e+03	2.401406e-01	1.562958e+00
1.170704e+00	2.839928e+02	1.408055e+02	1.431366e+03	2.401406e-01	1.562958e+00
1.170704e+00	2.839928e+02	1.408055e+02	1.060703e+03	2.132229e-01	1.562958e+00
1.176741e+00	2.845905e+02	1.408055e+02	1.060703e+03	2.401406e-01	1.464555e+00
1.170704e+00	2.839928e+02	1.408055e+02	1.060703e+03	2.401406e-01	1.562958e+00
1.314716e+00	2.982500e+02	3.139390e+02	8.553230e+02	3.809954e-01	3.028164e+00
1.314716e+00	2.982500e+02	9.426077e+02	8.553230e+02	3.809954e-01	3.028164e+00
1.314716e+00	2.982500e+02	3.139390e+02	7.492558e+02	3.809954e-01	3.028164e+00
1.314716e+00	2.982500e+02	3.139390e+02	8.553230e+02	4.647591e-01	3.028164e+00
1.314716e+00	2.982500e+02	3.139390e+02	8.553230e+02	3.809954e-01	2.621071e+00
1.314716e+00	2.982500e+02	3.139390e+02	7.492558e+02	4.647591e-01	2.621071e+00
1.314716e+00	2.982500e+02	9.426077e+02	8.553230e+02	4.647591e-01	2.621071e+00
1.314716e+00	2.982500e+02	9.426077e+02	7.492558e+02	3.809954e-01	2.621071e+00
1.314716e+00	2.982500e+02	9.426077e+02	7.492558e+02	4.647591e-01	3.028164e+00
1.314716e+00	2.982500e+02	9.426077e+02	7.492558e+02	4.647591e-01	2.621071e+00
7.208141e-02	1.751271e+02	1.143464e+02	1.157868e+03	1.200509e-01	1.319432e-01
7.208141e-02	1.751271e+02	6.272957e+02	1.157868e+03	1.200509e-01	1.319432e-01
7.208141e-02	1.751271e+02	1.143464e+02	8.825160e+02	1.200509e-01	1.319432e-01
7.208141e-02	1.751271e+02	1.143464e+02	1.157868e+03	1.000492e-01	1.319432e-01
1.314716e+00	2.982500e+02	1.143464e+02	1.157868e+03	1.200509e-01	3.414717e+00
1.314716e+00	2.982500e+02	1.143464e+02	8.825160e+02	1.000492e-01	3.414717e+00
1.314716e+00	2.982500e+02	6.272957e+02	1.157868e+03	1.000492e-01	3.414717e+00
1.314716e+00	2.982500e+02	6.272957e+02	8.825160e+02	1.200509e-01	3.414717e+00
7.208141e-02	1.751271e+02	6.272957e+02	8.825160e+02	1.000492e-01	1.319432e-01
1.314716e+00	2.982500e+02	6.272957e+02	8.825160e+02	1.000492e-01	3.414717e+00
1.314716e+00	2.982500e+02	5.805747e+02	6.130752e+02	4.003426e-01	2.428028e+00
1.314716e+00	2.982500e+02	4.493969e+02	6.130752e+02	4.003426e-01	2.428028e+00
1.314716e+00	2.982500e+02	5.805747e+02	1.318994e+03	4.003426e-01	2.428028e+00
1.314716e+00	2.982500e+02	5.805747e+02	6.130752e+02	3.235630e-01	2.428028e+00
5.120673e-01	2.186671e+02	5.805747e+02	6.130752e+02	4.003426e-01	4.828664e-01
5.120673e-01	2.186671e+02	5.805747e+02	1.318994e+03	3.235630e-01	4.828664e-01
5.120673e-01	2.186671e+02	4.493969e+02	6.130752e+02	3.235630e-01	4.828664e-01
5.120673e-01	2.186671e+02	4.493969e+02	1.318994e+03	4.003426e-01	4.828664e-01
1.314716e+00	2.982500e+02	4.493969e+02	1.318994e+03	3.235630e-01	2.428028e+00
5.120673e-01	2.186671e+02	4.493969e+02	1.318994e+03	3.235630e-01	4.828664e-01
1.314716e+00	2.982500e+02	6.862915e+02	1.072407e+03	3.233974e-01	2.839159e+00
1.314716e+00	2.982500e+02	3.396591e+02	1.072407e+03	3.233974e-01	2.839159e+00
1.314716e+00	2.982500e+02	6.862915e+02	1.141292e+03	3.233974e-01	2.839159e+00
1.314716e+00	2.982500e+02	6.862915e+02	1.072407e+03	1.120915e-01	2.839159e+00
1.314716e+00	2.982500e+02	6.862915e+02	1.072407e+03	3.233974e-01	3.756570e+00
1.314716e+00	2.982500e+02	6.862915e+02	1.141292e+03	1.120915e-01	3.756570e+00
1.314716e+00	2.982500e+02	3.396591e+02	1.072407e+03	1.120915e-01	3.756570e+00
1.314716e+00	2.982500e+02	3.396591e+02	1.141292e+03	3.233974e-01	3.756570e+00
1.314716e+00	2.982500e+02	3.396591e+02	1.141292e+03	1.120915e-01	2.839159e+00
1.314716e+00	2.982500e+02	3.396591e+02	1.141292e+03	1.120915e-01	3.756570e+00
8.335578e-01	2.506154e+02	1.495718e+02	6.487003e+02	2.664297e-01	6.560671e-01
8.335578e-01	2.506154e+02	5.173457e+02	6.487003e+02	2.664297e-01	6.560671e-01
8.335578e-01	2.506154e+02	1.495718e+02	5.798148e+02	2.664297e-01	6.560671e-01
8.335578e-01	2.506154e+02	1.495718e+02	6.487003e+02	3.392300e-01	6.560671e-01
1.030188e+00	2.700818e+02	1.495718e+02	6.487003e+02	2.664297e-01	8.247173e-01
1.030188e+00	2.700818e+02	1.495718e+02	5.798148e+02	3.392300e-01	8.247173e-01
1.030188e+00	2.700818e+02	5.173457e+02	6.487003e+02	3.392300e-01	8.247173e-01
1.030188e+00	2.700818e+02	5.173457e+02	5.798148e+02	2.664297e-01	8.247173e-01
8.335578e-01	2.506154e+02	5.173457e+02	5.798148e+02	3.392300e-01	6.560671e-01
1.030188e+00	2.700818e+02	5.173457e+02	5.798148e+02	3.392300e-01	8.247173e-01
1.314716e+00	2.982500e+02	4.191674e+02	1.330281e+03	4.447012e-01	3.735335e+00
1.314716e+00	2.982500e+02	8.337524e+02	1.330281e+03	4.447012e-01	3.735335e+00
1.314716e+00	2.982500e+02	4.191674e+02	7.902388e+02	4.447012e-01	3.735335e+00
1.314716e+00	2.982500e+02	4.191674e+02	1.330281e+03	1.959081e-01	3.735335e+00
1.114552e+00	2.784338e+02	4.191674e+02	1.330281e+03	4.447012e-01	1.158518e+00
1.114552e+00	2.784338e+02	4.191674e+02	7.902388e+02	1.959081e-01	1.158518e+00
1.114552e+00	2.784338e+02	8.337524e+02	1.330281e+03	1.959081e-01	1.158518e+00
