growth_rate	epi_size	cell_definitions/cell_definition/phenotype/secretion/substrate/secretion_rate_epi_inter___div_inhib	microenvironment_setup/variable/physical_parameter_set/diffusion_coefficient___div_inhib	microenvironment_setup/variable/physical_parameter_set/decay_rate___div_inhib
9.651078e-01	2.633882e+02	8.507349e+02	1.431366e+03	2.132229e-01
9.651078e-01	2.633882e+02	3.651856e+02	1.431366e+03	2.132229e-01
9.651078e-01	2.633882e+02	8.507349e+02	6.399455e+02	2.132229e-01
9.651078e-01	2.633882e+02	8.507349e+02	1.431366e+03	3.023161e-01
9.651078e-01	2.633882e+02	8.507349e+02	6.399455e+02	3.023161e-01
9.651078e-01	2.633882e+02	3.651856e+02	1.431366e+03	3.023161e-01
9.651078e-01	2.633882e+02	3.651856e+02	6.399455e+02	2.132229e-01
9.651078e-01	2.633882e+02	3.651856e+02	6.399455e+02	3.023161e-01
9.651078e-01	2.633882e+02	4.843469e+02	6.378191e+02	3.400313e-01
9.651078e-01	2.633882e+02	6.036455e+02	6.378191e+02	3.400313e-01
9.651078e-01	2.633882e+02	4.843469e+02	1.091630e+03	3.400313e-01
9.651078e-01	2.633882e+02	4.843469e+02	6.378191e+02	1.688408e-01
9.651078e-01	2.633882e+02	4.843469e+02	1.091630e+03	1.688408e-01
9.651078e-01	2.633882e+02	6.036455e+02	6.378191e+02	1.688408e-01
9.651078e-01	2.633882e+02	6.036455e+02	1.091630e+03	3.400313e-01
9.651078e-01	2.633882e+02	6.036455e+02	1.091630e+03	1.688408e-01
9.651078e-01	2.633882e+02	2.217708e+02	1.249741e+03	1.380809e-01
9.651078e-01	2.633882e+02	4.763531e+01	1.249741e+03	1.380809e-01
9.651078e-01	2.633882e+02	2.217708e+02	1.325076e+03	1.380809e-01
9.651078e-01	2.633882e+02	2.217708e+02	1.249741e+03	8.529089e-02
9.651078e-01	2.633882e+02	2.217708e+02	1.325076e+03	8.529089e-02
9.651078e-01	2.633882e+02	4.763531e+01	1.249741e+03	8.529089e-02
9.651078e-01	2.633882e+02	4.763531e+01	1.325076e+03	1.380809e-01
9.651078e-01	2.633882e+02	4.763531e+01	1.325076e+03	8.529089e-02
9.651078e-01	2.633882e+02	6.056389e+02	9.483814e+02	4.055063e-01
9.651078e-01	2.633882e+02	8.002327e+02	9.483814e+02	4.055063e-01
9.651078e-01	2.633882e+02	6.056389e+02	9.047590e+02	4.055063e-01
9.651078e-01	2.633882e+02	6.056389e+02	9.483814e+02	4.297071e-01
9.651078e-01	2.633882e+02	6.056389e+02	9.047590e+02	4.297071e-01
9.651078e-01	2.633882e+02	8.002327e+02	9.483814e+02	4.297071e-01
9.651078e-01	2.633882e+02	8.002327e+02	9.047590e+02	4.055063e-01
9.651078e-01	2.633882e+02	8.002327e+02	9.047590e+02	4.297071e-01
9.651078e-01	2.633882e+02	7.354795e+02	1.036496e+03	2.979603e-01
9.651078e-01	2.633882e+02	9.352248e+02	1.036496e+03	2.979603e-01
9.651078e-01	2.633882e+02	7.354795e+02	8.069696e+02	2.979603e-01
9.651078e-01	2.633882e+02	7.354795e+02	1.036496e+03	3.407142e-01
9.651078e-01	2.633882e+02	7.354795e+02	8.069696e+02	3.407142e-01
9.651078e-01	2.633882e+02	9.352248e+02	1.036496e+03	3.407142e-01
9.651078e-01	2.633882e+02	9.352248e+02	8.069696e+02	2.979603e-01
9.651078e-01	2.633882e+02	9.352248e+02	8.069696e+02	3.407142e-01
9.651078e-01	2.633882e+02	1.193606e+02	7.673616e+02	2.559541e-01
9.651078e-01	2.633882e+02	1.584818e+02	7.673616e+02	2.559541e-01
9.883911e-01	2.659673e+02	1.193606e+02	1.477355e+03	2.559541e-01
9.651078e-01	2.633882e+02	1.193606e+02	7.673616e+02	2.353604e-01
9.651078e-01	2.633882e+02	1.193606e+02	1.477355e+03	2.353604e-01
1.298167e+00	2.965842e+02	1.584818e+02	7.673616e+02	2.353604e-01
9.651078e-01	2.633882e+02	1.584818e+02	1.477355e+03	2.559541e-01
9.651078e-01	2.633882e+02	1.584818e+02	1.477355e+03	2.353604e-01
9.651078e-01	2.633882e+02	3.643159e+02	1.347028e+03	4.504477e-01
9.651078e-01	2.633882e+02	7.259644e+02	1.347028e+03	4.504477e-01
9.651078e-01	2.633882e+02	3.643159e+02	1.244123e+03	4.504477e-01
9.651078e-01	2.633882e+02	3.643159e+02	1.347028e+03	1.607146e-01
9.651078e-01	2.633882e+02	3.643159e+02	1.244123e+03	1.607146e-01
9.651078e-01	2.633882e+02	7.259644e+02	1.347028e+03	1.607146e-01
9.651078e-01	2.633882e+02	7.259644e+02	1.244123e+03	4.504477e-01
9.651078e-01	2.633882e+02	7.259644e+02	1.244123e+03	1.607146e-01
9.651078e-01	2.633882e+02	9.979531e+02	5.857056e+02	9.907118e-02
9.651078e-01	2.633882e+02	4.965290e+02	5.857056e+02	9.907118e-02
9.651078e-01	2.633882e+02	9.979531e+02	5.423690e+02	9.907118e-02
9.651078e-01	2.633882e+02	9.979531e+02	5.857056e+02	4.770023e-01
9.651078e-01	2.633882e+02	9.979531e+02	5.423690e+02	4.770023e-01
9.651078e-01	2.633882e+02	4.965290e+02	5.857056e+02	4.770023e-01
9.651078e-01	2.633882e+02	4.965290e+02	5.423690e+02	9.907118e-02
9.651078e-01	2.633882e+02	4.965290e+02	5.423690e+02	4.770023e-01
9.651078e-01	2.633882e+02	9.346757e+02	1.127702e+03	4.850821e-01
9.651078e-01	2.633882e+02	2.113666e+02	1.127702e+03	4.850821e-01
9.651078e-01	2.633882e+02	9.346757e+02	1.047691e+03	4.850821e-01
9.651078e-01	2.633882e+02	9.346757e+02	1.127702e+03	4.056270e-01
9.651078e-01	2.633882e+02	9.346757e+02	1.047691e+03	4.056270e-01
1.045629e+00	2.716338e+02	2.113666e+02	1.127702e+03	4.056270e-01
9.651078e-01	2.633882e+02	2.113666e+02	1.047691e+03	4.850821e-01
9.651078e-01	2.633882e+02	2.113666e+02	1.047691e+03	4.056270e-01
9.651078e-01	2.633882e+02	3.019865e+02	9.280863e+02	7.751054e-02
9.651078e-01	2.633882e+02	9.486261e+02	9.280863e+02	7.751054e-02
9.651078e-01	2.633882e+02	3.019865e+02	7.210065e+02	7.751054e-02
1.061114e+00	2.732989e+02	3.019865e+02	9.280863e+02	6.119703e-02
9.651078e-01	2.633882e+02	3.019865e+02	7.210065e+02	6.119703e-02
9.651078e-01	2.633882e+02	9.486261e+02	9.280863e+02	6.119703e-02
9.651078e-01	2.633882e+02	9.486261e+02	7.210065e+02	7.751054e-02
9.651078e-01	2.633882e+02	9.486261e+02	7.210065e+02	6.119703e-02
1.027345e+00	2.697810e+02	5.733328e+01	1.442140e+03	3.194111e-01
9.651078e-01	2.633882e+02	3.884307e+02	1.442140e+03	3.194111e-01
9.651078e-01	2.633882e+02	5.733328e+01	9.877756e+02	3.194111e-01
9.651078e-01	2.633882e+02	5.733328e+01	1.442140e+03	1.938541e-01
9.651078e-01	2.633882e+02	5.733328e+01	9.877756e+02	1.938541e-01
9.651078e-01	2.633882e+02	3.884307e+02	1.442140e+03	1.938541e-01
9.651078e-01	2.633882e+02	3.884307e+02	9.877756e+02	3.194111e-01
9.651078e-01	2.633882e+02	3.884307e+02	9.877756e+02	1.938541e-01
1.118117e+00	2.788385e+02	6.723880e+02	7.347118e+02	2.212098e-01
9.651078e-01	2.633882e+02	6.427789e+02	7.347118e+02	2.212098e-01
9.651078e-01	2.633882e+02	6.723880e+02	1.283092e+03	2.212098e-01
9.651078e-01	2.633882e+02	6.723880e+02	7.347118e+02	3.273432e-01
9.651078e-01	2.633882e+02	6.723880e+02	1.283092e+03	3.273432e-01
9.651078e-01	2.633882e+02	6.427789e+02	7.347118e+02	3.273432e-01
9.651078e-01	2.633882e+02	6.427789e+02	1.283092e+03	2.212098e-01
9.651078e-01	2.633882e+02	6.427789e+02	1.283092e+03	3.273432e-01
9.651078e-01	2.633882e+02	5.426093e+02	1.279432e+03	1.173992e-01
9.651078e-01	2.633882e+02	5.311995e+02	1.279432e+03	1.173992e-01
9.651078e-01	2.633882e+02	5.426093e+02	1.380668e+03	1.173992e-01
9.651078e-01	2.633882e+02	5.426093e+02	1.279432e+03	4.449005e-01
9.651078e-01	2.633882e+02	5.426093e+02	1.380668e+03	4.449005e-01
9.651078e-01	2.633882e+02	5.311995e+02	1.279432e+03	4.449005e-01
9.651078e-01	2.633882e+02	5.311995e+02	1.380668e+03	1.173992e-01
9.651078e-01	2.633882e+02	5.311995e+02	1.380668e+03	4.449005e-01
9.651078e-01	2.633882e+02	1.596815e+02	5.417291e+02	4.410195e-01
9.651078e-01	2.633882e+02	2.541686e+02	5.417291e+02	4.410195e-01
9.651078e-01	2.633882e+02	1.596815e+02	8.352830e+02	4.410195e-01
9.651078e-01	2.633882e+02	1.596815e+02	5.417291e+02	1.285990e-01
9.651078e-01	2.633882e+02	1.596815e+02	8.352830e+02	1.285990e-01
9.651078e-01	2.633882e+02	2.541686e+02	5.417291e+02	1.285990e-01
9.651078e-01	2.633882e+02	2.541686e+02	8.352830e+02	4.410195e-01
9.651078e-01	2.633882e+02	2.541686e+02	8.352830e+02	1.285990e-01
9.651078e-01	2.633882e+02	4.220795e+02	1.086088e+03	1.775997e-01
9.279212e-01	2.600719e+02	8.185047e+02	1.086088e+03	1.775997e-01
9.651078e-01	2.633882e+02	4.220795e+02	5.687278e+02	1.775997e-01
9.651078e-01	2.633882e+02	4.220795e+02	1.086088e+03	2.666376e-01
9.651078e-01	2.633882e+02	4.220795e+02	5.687278e+02	2.666376e-01
9.651078e-01	2.633882e+02	8.185047e+02	1.086088e+03	2.666376e-01
9.651078e-01	2.633882e+02	8.185047e+02	5.687278e+02	1.775997e-01
9.651078e-01	2.633882e+02	8.185047e+02	5.687278e+02	2.666376e-01
9.651078e-01	2.633882e+02	7.873957e+02	8.561974e+02	3.606033e-01
9.651078e-01	2.633882e+02	8.783032e+01	8.561974e+02	3.606033e-01
1.045629e+00	2.716338e+02	7.873957e+02	1.145482e+03	3.606033e-01
9.651078e-01	2.633882e+02	7.873957e+02	8.561974e+02	3.720052e-01
9.651078e-01	2.633882e+02	7.873957e+02	1.145482e+03	3.720052e-01
9.651078e-01	2.633882e+02	8.783032e+01	8.561974e+02	3.720052e-01
9.651078e-01	2.633882e+02	8.783032e+01	1.145482e+03	3.606033e-01
9.651078e-01	2.633882e+02	8.783032e+01	1.145482e+03	3.720052e-01
